source_team_rank,source_team,source_player_id,real_nickname,inspired_name,region,role,archetype,drama_title,personality,visual_identity,face_safety_note,current_team,image_status,original_reference_required,original_reference_image_path,reference_visual_anchor,similarity_target,likeness_comparison_required,generation_channel,revision_note
7,Legacy,hltv-ranking-2026-06-01:Legacy:latto,latto,LattoX,Brazil,rifler,Brazil rifle star posture,Brazil rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Legacy,prompt_only,YES,references/originals/Legacy/latto.jpg,"Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
7,Legacy,hltv-ranking-2026-06-01:Legacy:n1ssim,n1ssim,Nis-S,Brazil,rifler,Brazil rifle star posture,Brazil rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Legacy,prompt_only,YES,references/originals/Legacy/n1ssim.jpg,"Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
7,Legacy,hltv-ranking-2026-06-01:Legacy:saadzin,saadzin,Saad-Z,Brazil,rifler,Brazil rifle star posture,Brazil rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Legacy,prompt_only,YES,references/originals/Legacy/saadzin.jpg,"Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
8,MOUZ,hltv-ranking-2026-06-01:MOUZ:torzsi,torzsi,Torzi,Hungary,AWPer,Hungarian pressure AWP,Hungarian pressure AWP,Young sniper carrying criticism and pressure,"Hungarian young AWPer, focused and slightly tense expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,MOUZ,sample_pending,YES,references/originals/MOUZ/torzsi.jpg,"Hungarian young AWPer, focused and slightly tense expression.",Medium-high archetype recognition through sniper posture and reference-specific hair/body anchors.,YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Regenerate with Web ChatGPT using reference image.
8,MOUZ,hltv-ranking-2026-06-01:MOUZ:Spinx,Spinx,Sphinx,Israel,rifler / lurker,Israel rifle star posture,Israel rifle star posture,"Fictionalized rifler / lurker persona built from region, role, body language and playstyle, not facial cloning.","Israel rifler / lurker archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,MOUZ,prompt_only,YES,references/originals/MOUZ/Spinx.jpg,"Israel rifler / lurker archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
8,MOUZ,hltv-ranking-2026-06-01:MOUZ:xertioN,xertioN,XertionX,Israel,entry / rifler,Israel aggressive entry posture,Israel aggressive entry posture,"Fictionalized entry / rifler persona built from region, role, body language and playstyle, not facial cloning.","Israel entry / rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,MOUZ,prompt_only,YES,references/originals/MOUZ/xertioN.jpg,"Israel entry / rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
8,MOUZ,hltv-ranking-2026-06-01:MOUZ:xelex,xelex,Xelexa,Hungary,rifler,Hungary rifle star posture,Hungary rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Hungary rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,MOUZ,prompt_only,YES,references/originals/MOUZ/xelex.jpg,"Hungary rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
9,The MongolZ,hltv-ranking-2026-06-01:The MongolZ:bLitz,bLitz,BlitZed,Mongolia,IGL / rifler,Mongolian lightning commander,Mongolian lightning commander,Hard captain leading from the front,"Mongolian captain, Asian steppe identity, short hair, hard expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,The MongolZ,sample_pending,YES,references/originals/The_MongolZ/bLitz.jpg,"Mongolian captain, Asian steppe identity, short hair, hard expression.","Medium-high archetype recognition through regional look, posture and captain aura.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Regenerate with Web ChatGPT using reference image.
9,The MongolZ,hltv-ranking-2026-06-01:The MongolZ:Techno,Techno,Tekno,Mongolia,rifler,Mongolia rifle star posture,Mongolia rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Mongolia rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,The MongolZ,prompt_only,YES,references/originals/The_MongolZ/Techno.jpg,"Mongolia rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
9,The MongolZ,hltv-ranking-2026-06-01:The MongolZ:mzinho,mzinho,M-Zino,Mongolia,rifler,Mongolia rifle star posture,Mongolia rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Mongolia rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,The MongolZ,prompt_only,YES,references/originals/The_MongolZ/mzinho.jpg,"Mongolia rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
9,The MongolZ,hltv-ranking-2026-06-01:The MongolZ:910,910,Nine-Ten,Mongolia,AWPer,Mongolia sniper focus,Mongolia sniper focus,"Fictionalized AWPer persona built from region, role, body language and playstyle, not facial cloning.","Mongolia AWPer archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,The MongolZ,prompt_only,YES,references/originals/The_MongolZ/910.jpg,"Mongolia AWPer archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
9,The MongolZ,hltv-ranking-2026-06-01:The MongolZ:cobrazera,cobrazera,Cobra-Z,Brazil,rifler,Brazil rifle star posture,Brazil rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,The MongolZ,prompt_only,YES,references/originals/The_MongolZ/cobrazera.jpg,"Brazil rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
10,GamerLegion,hltv-ranking-2026-06-01:GamerLegion:Snax,Snax,Snaks,Poland,IGL / rifler,Polish old-school clutch veteran,Polish old-school clutch veteran,"Clever, experienced, sly late-round reader","Mature Polish veteran, thicker body impression allowed, sly expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,GamerLegion,sample_pending,YES,references/originals/GamerLegion/Snax.jpg,"Mature Polish veteran, thicker body impression allowed, sly expression.",Medium-high archetype recognition through veteran age/body/posture anchors.,YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Regenerate with Web ChatGPT using reference image.
10,GamerLegion,hltv-ranking-2026-06-01:GamerLegion:REZ,REZ,R-Ez,Sweden,rifler,Sweden rifle star posture,Sweden rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Sweden rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,GamerLegion,prompt_only,YES,references/originals/GamerLegion/REZ.jpg,"Sweden rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
10,GamerLegion,hltv-ranking-2026-06-01:GamerLegion:Tauson,Tauson,Tawson,Denmark,rifler,Denmark rifle star posture,Denmark rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Denmark rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,GamerLegion,prompt_only,YES,references/originals/GamerLegion/Tauson.jpg,"Denmark rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
10,GamerLegion,hltv-ranking-2026-06-01:GamerLegion:PR,PR,P-Rex,Europe,rifler,Europe rifle star posture,Europe rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Europe rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,GamerLegion,prompt_only,YES,references/originals/GamerLegion/PR.jpg,"Europe rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
10,GamerLegion,hltv-ranking-2026-06-01:GamerLegion:hypex,hypex,Hype-X,Sweden,rifler,Sweden rifle star posture,Sweden rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Sweden rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,GamerLegion,prompt_only,YES,references/originals/GamerLegion/hypex.jpg,"Sweden rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
11,PARIVISION,hltv-ranking-2026-06-01:PARIVISION:Jame,Jame,Jaym,Russia,IGL / AWPer,CIS save-round philosopher,CIS save-round philosopher,"Cold, distant, mathematically calm AWPer IGL","CIS cold-faced sniper commander, emotionally flat expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,PARIVISION,sample_pending,YES,references/originals/PARIVISION/Jame.jpg,"CIS cold-faced sniper commander, emotionally flat expression.",Medium-high archetype recognition through cold sniper-IGL aura.,YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Regenerate with Web ChatGPT using reference image.
11,PARIVISION,hltv-ranking-2026-06-01:PARIVISION:BELCHONOKK,BELCHONOKK,Belchon,CIS,rifler,CIS rifle star posture,CIS rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","CIS rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,PARIVISION,prompt_only,YES,references/originals/PARIVISION/BELCHONOKK.jpg,"CIS rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
11,PARIVISION,hltv-ranking-2026-06-01:PARIVISION:xiELO,xiELO,XieloX,CIS,rifler,CIS rifle star posture,CIS rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","CIS rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,PARIVISION,prompt_only,YES,references/originals/PARIVISION/xiELO.jpg,"CIS rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
11,PARIVISION,hltv-ranking-2026-06-01:PARIVISION:nota,nota,Noto,CIS,support,CIS supportive anchor posture,CIS supportive anchor posture,"Fictionalized support persona built from region, role, body language and playstyle, not facial cloning.","CIS support archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,PARIVISION,prompt_only,YES,references/originals/PARIVISION/nota.jpg,"CIS support archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
11,PARIVISION,hltv-ranking-2026-06-01:PARIVISION:zweih,zweih,Zwei-H,CIS,rifler,CIS rifle star posture,CIS rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","CIS rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,PARIVISION,prompt_only,YES,references/originals/PARIVISION/zweih.jpg,"CIS rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
12,Astralis,hltv-ranking-2026-06-01:Astralis:HooXi,HooXi,HooxiX,Denmark,IGL,Danish quiet IGL,Danish quiet IGL,"Mild outside, hard tactical brain","Danish quiet commander, slimmer long face impression, tactical calm.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Astralis,sample_pending,YES,references/originals/Astralis/HooXi.jpg,"Danish quiet commander, slimmer long face impression, tactical calm.",Medium-high archetype recognition through Danish IGL styling and posture.,YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Regenerate with Web ChatGPT using reference image.
12,Astralis,hltv-ranking-2026-06-01:Astralis:phzy,phzy,Phazy,Sweden,AWPer,Sweden sniper focus,Sweden sniper focus,"Fictionalized AWPer persona built from region, role, body language and playstyle, not facial cloning.","Sweden AWPer archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Astralis,prompt_only,YES,references/originals/Astralis/phzy.jpg,"Sweden AWPer archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
12,Astralis,hltv-ranking-2026-06-01:Astralis:jabbi,jabbi,Jabby,Denmark,rifler,Denmark rifle star posture,Denmark rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Denmark rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Astralis,prompt_only,YES,references/originals/Astralis/jabbi.jpg,"Denmark rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
12,Astralis,hltv-ranking-2026-06-01:Astralis:Staehr,Staehr,Staer,Denmark,rifler,Denmark rifle star posture,Denmark rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Denmark rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Astralis,prompt_only,YES,references/originals/Astralis/Staehr.jpg,"Denmark rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
12,Astralis,hltv-ranking-2026-06-01:Astralis:ryu,ryu,Ryuu,Denmark,rifler,Denmark rifle star posture,Denmark rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Denmark rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,Astralis,prompt_only,YES,references/originals/Astralis/ryu.jpg,"Denmark rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
13,FUT,hltv-ranking-2026-06-01:FUT:dem0n,dem0n,Daemon,Europe,rifler,Europe rifle star posture,Europe rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Europe rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,FUT,prompt_only,YES,references/originals/FUT/dem0n.jpg,"Europe rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
13,FUT,hltv-ranking-2026-06-01:FUT:lauNX,lauNX,Lawn-X,Romania,rifler,Romanian electric rifler,Romanian electric rifler,Volatile young rifler with high ceiling,"Romanian young rifler, restless eyes, quick energy.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,FUT,sample_pending,YES,references/originals/FUT/lauNX.jpg,"Romanian young rifler, restless eyes, quick energy.",Medium-high archetype recognition through youthful volatile rifler cues.,YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Regenerate with Web ChatGPT using reference image.
13,FUT,hltv-ranking-2026-06-01:FUT:Krabeni,Krabeni,Kraben,Balkan,rifler,Balkan rifle star posture,Balkan rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Balkan rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,FUT,prompt_only,YES,references/originals/FUT/Krabeni.jpg,"Balkan rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
13,FUT,hltv-ranking-2026-06-01:FUT:cmtry,cmtry,Cemtry,Europe,support,Europe supportive anchor posture,Europe supportive anchor posture,"Fictionalized support persona built from region, role, body language and playstyle, not facial cloning.","Europe support archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,FUT,prompt_only,YES,references/originals/FUT/cmtry.jpg,"Europe support archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
13,FUT,hltv-ranking-2026-06-01:FUT:dziugss,dziugss,Dziugs,Lithuania,rifler,Lithuania rifle star posture,Lithuania rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Lithuania rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,FUT,prompt_only,YES,references/originals/FUT/dziugss.jpg,"Lithuania rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
14,G2,hltv-ranking-2026-06-01:G2:huNter-,huNter-,Huntor,Bosnia,rifler,Bosnia rifle star posture,Bosnia rifle star posture,"Fictionalized rifler persona built from region, role, body language and playstyle, not facial cloning.","Bosnia rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.",Original fictional face: use region/playstyle/body-language references only; do not clone real facial identity or present the image as the real player.,G2,prompt_only,YES,references/originals/G2/huNter-.jpg,"Bosnia rifler archetype; collect the original reference image first, then preserve 2-4 visible anchors such as hair, glasses, facial hair, body type, age impression, posture or expression.","Medium-high archetype recognition through silhouette, hair/body/accessory anchors and role aura; exact real face must stay original.",YES - place original reference and generated character side by side; pass only if archetype is recognizable and face is not a clone.,Web ChatGPT image generation in a new browser window/tab only; do not use built-in image_gen for final character images.,Needs original reference image before generation.
