inspired_name,real_nickname,period_team,start_year,end_year,jersey_description,source_url,prompt_key,generation_priority
BlitZed,bLitz,The MongolZ,2023,Present,"Authentic The MongolZ esports jersey from 2023-Present; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=bLitz,blitzed-the-mongolz-2023,sample_history
Snaks,Snax,Virtus.pro,2013,2018,"Authentic Virtus.pro esports jersey from 2013-2018; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=Snax,snaks-virtus-pro-2013,sample_history
Snaks,Snax,MOUZ,2018,2018,"Authentic MOUZ esports jersey from 2018-2018; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=Snax,snaks-mouz-2018,sample_history
Snaks,Snax,ENCE,2022,2022,"Authentic ENCE esports jersey from 2022-2022; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=Snax,snaks-ence-2022,sample_history
Snaks,Snax,GamerLegion,2023,2024,"Authentic GamerLegion esports jersey from 2023-2024; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=Snax,snaks-gamerlegion-2023,sample_history
Snaks,Snax,G2,2024,2025,"Authentic G2 esports jersey from 2024-2025; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=Snax,snaks-g2-2024,sample_history
Snaks,Snax,GamerLegion,2026,Present,"Authentic GamerLegion esports jersey from 2026-Present; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=Snax,snaks-gamerlegion-2026,sample_history
Jaym,Jame,AVANGAR,2017,2019,"Authentic AVANGAR esports jersey from 2017-2019; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=Jame,jaym-avangar-2017,sample_history
Jaym,Jame,Virtus.pro / Outsiders,2019,2024,"Authentic Virtus.pro / Outsiders esports jersey from 2019-2024; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=Jame,jaym-virtus-pro---outsiders-2019,sample_history
Jaym,Jame,PARIVISION,2025,Present,"Authentic PARIVISION esports jersey from 2025-Present; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=Jame,jaym-parivision-2025,sample_history
HooxiX,HooXi,Copenhagen Flames,2021,2022,"Authentic Copenhagen Flames esports jersey from 2021-2022; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=HooXi,hooxix-copenhagen-flames-2021,sample_history
HooxiX,HooXi,G2,2022,2024,"Authentic G2 esports jersey from 2022-2024; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=HooXi,hooxix-g2-2022,sample_history
HooxiX,HooXi,Astralis,2026,Present,"Authentic Astralis esports jersey from 2026-Present; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=HooXi,hooxix-astralis-2026,sample_history
Lawn-X,lauNX,Sprout,2022,2023,"Authentic Sprout esports jersey from 2022-2023; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=lauNX,lawn-x-sprout-2022,sample_history
Lawn-X,lauNX,Falcons,2023,2024,"Authentic Falcons esports jersey from 2023-2024; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=lauNX,lawn-x-falcons-2023,sample_history
Lawn-X,lauNX,BLEED,2024,2025,"Authentic BLEED esports jersey from 2024-2025; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=lauNX,lawn-x-bleed-2024,sample_history
Lawn-X,lauNX,FUT,2026,Present,"Authentic FUT esports jersey from 2026-Present; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=lauNX,lawn-x-fut-2026,sample_history
Sun-Pai,SunPayus,Movistar Riders,2020,2022,"Authentic Movistar Riders esports jersey from 2020-2022; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=SunPayus,sun-pai-movistar-riders-2020,sample_history
Sun-Pai,SunPayus,ENCE,2022,2023,"Authentic ENCE esports jersey from 2022-2023; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=SunPayus,sun-pai-ence-2022,sample_history
Sun-Pai,SunPayus,Falcons,2023,2025,"Authentic Falcons esports jersey from 2023-2025; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=SunPayus,sun-pai-falcons-2023,sample_history
Sun-Pai,SunPayus,G2,2025,Present,"Authentic G2 esports jersey from 2025-Present; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=SunPayus,sun-pai-g2-2025,sample_history
Frozin,frozen,MOUZ,2019,2023,"Authentic MOUZ esports jersey from 2019-2023; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=frozen,frozin-mouz-2019,sample_history
Frozin,frozen,FaZe,2023,Present,"Authentic FaZe esports jersey from 2023-Present; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=frozen,frozin-faze-2023,sample_history
NPL-9,npl,NAVI Junior,2021,2022,"Authentic NAVI Junior esports jersey from 2021-2022; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=npl,npl-9-navi-junior-2021,sample_history
NPL-9,npl,Natus Vincere,2022,2023,"Authentic Natus Vincere esports jersey from 2022-2023; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=npl,npl-9-natus-vincere-2022,sample_history
NPL-9,npl,B8,2023,Present,"Authentic B8 esports jersey from 2023-Present; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=npl,npl-9-b8-2023,sample_history
A-Wing,AW,magic,2026,Present,"Authentic magic esports jersey from 2026-Present; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=AW,a-wing-magic-2026,sample_history
Bigu-Z,biguzera,paiN,2019,Present,"Authentic paiN esports jersey from 2019-Present; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=biguzera,bigu-z-pain-2019,sample_history
Insano,insani,MIBR Academy / MIBR,2022,Present,"Authentic MIBR Academy / MIBR esports jersey from 2022-Present; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=insani,insano-mibr-academy---mibr-2022,sample_history
Digit,dgt,9z,2020,Present,"Authentic 9z esports jersey from 2020-Present; preserve real colors, logo placement, sponsor style and era-specific cut.",https://www.hltv.org/search?query=dgt,digit-9z-2020,sample_history
